ID,Name,Gene Name,GenBank Protein ID,GenBank Gene ID,UniProt ID,Uniprot Title,PDB ID,GeneCard ID,GenAtlas ID,HGNC ID,Species,Drug IDs
48,Prothrombin,F2,339641,M17262,P00734,THRB_HUMAN,1A2C; 1A3B; 1A3E; 1A46; 1A4W; 1A5G; 1A61; 1ABI; 1ABJ; 1AD8; 1AE8; 1AFE; 1AHT; 1AI8; 1AIX; 1AWF; 1AWH; 1AY6; 1B5G; 1B7X; 1BA8; 1BB0; 1BCU; 1BHX; 1BMM; 1BMN; 1BTH; 1C1U; 1C1V; 1C1W; 1C4U; 1C4V; 1C4Y; 1C5L; 1C5N; 1C5O; 1CA8; 1D3D; 1D3P; 1D3Q; 1D3T; 1D4P; 1D6W; 1D9I; 1DE7; 1DIT; 1DM4; 1DOJ; 1DWB; 1DWC; 1DWD; 1DWE; 1DX5; 1E0F; 1EB1; 1EOJ; 1EOL; 1FPC; 1FPH; 1G30; 1G32; 1G37; 1GHV; 1GHW; 1GHX; 1GHY; 1GJ4; 1GJ5; 1H8D; 1H8I; 1HAG; 1HAH; 1HAI; 1HAO; 1HAP; 1HBT; 1HDT; 1HGT; 1HLT; 1HUT; 1HXE; 1HXF; 1IHS; 1IHT; 1JMO; 1JOU; 1JWT; 1K21; 1K22; 1KTS; 1KTT; 1LHC; 1LHD; 1LHE; 1LHF; 1LHG; 1MH0; 1MU6; 1MU8; 1MUE; 1NM6; 1NO9; 1NRN; 1NRO; 1NRP; 1NRQ; 1NRR; 1NRS; 1NT1; 1NU7; 1NU9; 1NY2; 1NZQ; 1O0D; 1O2G; 1O5G; 1OOK; 1OYT; 1P8V; 1PPB; 1QBV; 1QHR; 1QJ1; 1QJ6; 1QJ7; 1QUR; 1RD3; 1RIW; 1SB1; 1SFQ; 1SG8; 1SGI; 1SHH; 1SL3; 1SR5; 1T4U; 1T4V; 1TA2; 1TA6; 1TB6; 1TBZ; 1THP; 1THR; 1THS; 1TMB; 1TMT; 1TMU; 1TOM; 1TQ0; 1TQ7; 1TWX; 1UMA; 1UVS; 1VR1; 1VZQ; 1W7G; 1WAY; 1WBG; 1XM1; 1XMN; 1YPE; 1YPG; 1YPJ; 1YPK; 1YPL; 1YPM; 1Z71; 1Z8I; 1Z8J; 1ZGI; 1ZGV; 1ZRB; 2A0Q; 2A2X; 2A45; 2AFQ; 2ANK; 2ANM; 2B5T; 2BDY; 2BVR; 2BVS; 2BVX; 2BXT; 2BXU; 2C8W; 2C8X; 2C8Y; 2C8Z; 2C90; 2C93; 2CF8; 2CF9; 2CN0; 2FEQ; 2FES; 2GDE; 2GP9; 2H9T; 2HGT; 2HNT; 2HPP; 2HPQ; 2HWL; 2JH0; 2JH5; 2JH6; 2OD3; 2PGB; 2PGQ; 2PKS; 2PW8; 2R2M; 2THF; 2UUF; 2UUJ; 2UUK; 2V3H; 2V3O; 2ZC9; 2ZDA; 2ZDV; 2ZF0; 2ZFF; 2ZFP; 2ZFQ; 2ZFR; 2ZG0; 2ZGB; 2ZGX; 2ZHE; 2ZHF; 2ZHQ; 2ZHW; 2ZI2; 2ZIQ; 2ZNK; 2ZO3; 3B23; 3B9F; 3BEF; 3BEI; 3BF6; 3BIU; 3BIV; 3BV9; 3C1K; 3C27; 3D49; 3DA9; 3DD2; 3DHK; 3DT0; 3DUX; 3E6P; 3EE0; 3EGK; 3EQ0; 3F68; 3GIC; 3GIS; 3HAT; 3HKJ; 3HTC; 3JZ1; 3JZ2; 3K65; 3LDX; 3LU9; 3NXP; 3P17; 3P6Z; 3P70; 3PMH; 3PO1; 3QDZ; 3QGN; 3QLP; 3QTO; 3QTV; 3QWC; 3QX5; 3R3G; 3RLW; 3RLY; 3RM0; 3RM2; 3RML; 3RMM; 3RMN; 3RMO; 3S7H; 3S7K; 3SHA; 3SHC; 3SI3; 3SI4; 3SQE; 3SQH; 3SV2; 3T5F; 3TU7; 3U69; 3U8O; 3U8R; 3U8T; 3U98; 3U9A; 3UTU; 3UWJ; 3VXE; 3VXF; 4AX9; 4AYV; 4AYY; 4AZ2; 4BAH; 4BAK; 4BAM; 4BAN; 4BAO; 4BAQ; 4BOH; 4CH2; 4CH8; 4DIH; 4DII; 4DT7; 4DY7; 4E05; 4E06; 4E7R; 4H6S; 4H6T; 4HFP; 4HTC; 4HZH; 4I7Y; 4LOY; 4LXB; 4LZ1; 4LZ4; 4MLF; 4N3L; 4NZE; 4NZQ; 4O03; 4RKJ; 4RKO; 4RN6; 4THN; 4UD9; 4UDW; 4UE7; 4UEH; 4YES; 5AF9; 5AFY; 5AFZ; 5AHG; 5E8E; 5GDS; 7KME; 8KME,,F2,HGNC:3535,Humans,DB00025; DB13998; DB13999
51,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1,HSD3B1,306889,M27137,P14060,3BHS1_HUMAN,"",,HSD3B1,HGNC:5217,Humans,DB01708; DB09070
59,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2,HSD3B2,184401,M67466,P26439,3BHS2_HUMAN,"",,HSD3B2,HGNC:5218,Humans,DB00603; DB00717; DB01285; DB09070
67,"Nitric oxide synthase, brain",NOS1,642526,U17327,P29475,NOS1_HUMAN,4D1N; 4UCH; 4UH5; 4UH6; 4V3U; 5ADF; 5ADG; 5ADI,,NOS1,HGNC:7872,Humans,DB00997
70,Group 10 secretory phospholipase A2,PLA2G10,2289237,U95301,O15496,PA2GX_HUMAN,1LE6; 1LE7; 4UY1,,PLA2G10,HGNC:9029,Humans,DB13892
77,Hypoxanthine-guanine phosphoribosyltransferase,HPRT1,306885,M31642,P00492,HPRT_HUMAN,1BZY; 1D6N; 1HMP; 1Z7G; 2VFA; 3GEP; 3GGC; 3GGJ; 4IJQ; 4KN6; 4RAB; 4RAC; 4RAD; 4RAN; 4RAO; 4RAQ; 5BRN; 5BSK,,HPRT1,HGNC:5157,Humans,DB00352; DB00993
80,Tryptophan 5-hydroxylase 2,TPH2,27497159,AY098914,Q8IWU9,TPH2_HUMAN,4V06,,TPH2,HGNC:20692,Humans,DB00150
82,Creatine kinase B-type,CKB,180572,M16451,P12277,KCRB_HUMAN,3B6R; 3DRB; 3DRE,,CKB,HGNC:1991,Humans,DB13749
105,Sterol O-acyltransferase 1,SOAT1,4878022,L21934,P35610,SOAT1_HUMAN,"",,SOAT1,HGNC:11177,Humans,DB09539
111,Diamine acetyltransferase 1,SAT1,338392,M77693,P21673,SAT1_HUMAN,2B3U; 2B3V; 2B4B; 2B4D; 2B58; 2B5G; 2F5I; 2FXF; 2G3T; 2JEV,,SAT1,HGNC:10540,Humans,DB00127; DB06824
115,Adenine phosphoribosyltransferase,APRT,28819,Y00486,P07741,APT_HUMAN,1OPU; 1ORE; 1ZN7; 1ZN8; 1ZN9,,APRT,HGNC:626,Humans,DB00131
121,Tryptophan 5-hydroxylase 1,TPH1,37955,X52836,P17752,TPH1_HUMAN,1IN9; 1MLW; 3HF6; 3HF8; 3HFB,,TPH1,HGNC:12008,Humans,DB00150
126,Aldo-keto reductase family 1 member C1,AKR1C1,181549,M86609,Q04828,AK1C1_HUMAN,1MRQ; 3C3U; 3GUG; 3NTY,,AKR1C1,HGNC:384,Humans,DB00461; DB00776; DB01039; DB06077; DB12612
131,Corticosteroid 11-beta-dehydrogenase isozyme 2,HSD11B2,565082,U14631,P80365,DHI2_HUMAN,"",,HSD11B2,HGNC:5209,Humans,DB00687; DB00741; DB01234; DB04652; DB14631; DB14649
133,"Aldehyde dehydrogenase, mitochondrial",ALDH2,28606,X05409,P05091,ALDH2_HUMAN,1CW3; 1NZW; 1NZX; 1NZZ; 1O00; 1O01; 1O02; 1O04; 1O05; 1ZUM; 2ONM; 2ONN; 2ONO; 2ONP; 2VLE; 3INJ; 3INL; 3N80; 3N81; 3N82; 3N83; 3SZ9; 4FQF; 4FR8; 4KWF; 4KWG,,ALDH2,HGNC:404,Humans,DB00435; DB00727; DB01612; DB06154; DB06207; DB06770; DB09117
138,Dopamine beta-hydroxylase,DBH,30474,X13255,P09172,DOPO_HUMAN,"",,DBH,HGNC:2689,Humans,DB00550; DB00968; DB00988; DB05394; DB06774; DB09130
152,"Succinate-semialdehyde dehydrogenase, mitochondrial",ALDH5A1,3766467,Y11192,P51649,SSDH_HUMAN,2W8N; 2W8O; 2W8P; 2W8Q; 2W8R,,ALDH5A1,HGNC:408,Humans,DB09072
157,Thiamin pyrophosphokinase 1,TPK1,12248915,AB028138,Q9H3S4,TPK1_HUMAN,1OLY; 3S4Y,,TPK1,HGNC:17358,Humans,DB00152
166,Glutamate--cysteine ligase catalytic subunit,GCLC,183039,M90656,P48506,GSH1_HUMAN,"",,GCLC,HGNC:4311,Humans,DB00163; DB14001; DB14002
170,Mitochondrial peptide methionine sulfoxide reductase,MSRA,6136945,AJ242973,Q9UJ68,MSRA_HUMAN,"",,MSRA,HGNC:7377,Humans,DB00134
176,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",SDHA,506338,D30648,P31040,SDHA_HUMAN,"",,SDHA,HGNC:10680,Humans,DB00139
181,Pyridoxine-5'-phosphate oxidase,PNPO,21728336,AF468030,Q9NVS9,PNPO_HUMAN,1NRG; 3HY8,,PNPO,HGNC:30260,Humans,DB02209
182,"cGMP-specific 3',5'-cyclic phosphodiesterase",PDE5A,3420185,AF043731,O76074,PDE5A_HUMAN,1RKP; 1T9R; 1T9S; 1TBF; 1UDT; 1UDU; 1UHO; 1XOZ; 1XP0; 2CHM; 2H40; 2H42; 2H44; 2XSS; 3B2R; 3BJC; 3HC8; 3HDZ; 3JWQ; 3JWR; 3LFV; 3MF0; 3SHY; 3SHZ; 3SIE; 3TGE; 3TGG; 4G2W; 4G2Y; 4I9Z; 4IA0; 4MD6; 4OEW; 4OEX,,PDE5A,HGNC:8784,Humans,DB09282
191,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial",NDUFS3,3337441,AF067139,O75489,NDUS3_HUMAN,"",,NDUFS3,HGNC:7710,Humans,DB00997
194,Estradiol 17-beta-dehydrogenase 1,HSD17B1,23365,X13440,P14061,DHB1_HUMAN,1A27; 1BHS; 1DHT; 1EQU; 1FDS; 1FDT; 1FDU; 1FDV; 1FDW; 1I5R; 1IOL; 1JTV; 1QYV; 1QYW; 1QYX; 3DEY; 3DHE; 3HB4; 3HB5; 3KLM; 3KLP; 3KM0,,HSD17B1,HGNC:5210,Humans,DB01708
216,Coagulation factor X,F10,182841,K03194,P00742,FA10_HUMAN,1C5M; 1EZQ; 1F0R; 1F0S; 1FAX; 1FJS; 1FXY; 1G2L; 1G2M; 1HCG; 1IOE; 1IQE; 1IQF; 1IQG; 1IQH; 1IQI; 1IQJ; 1IQK; 1IQL; 1IQM; 1IQN; 1KSN; 1LPG; 1LPK; 1LPZ; 1LQD; 1MQ5; 1MQ6; 1MSX; 1NFU; 1NFW; 1NFX; 1NFY; 1NL8; 1P0S; 1V3X; 1WU1; 1XKA; 1XKB; 1Z6E; 2BMG; 2BOH; 2BOK; 2BQ6; 2BQ7; 2BQW; 2CJI; 2D1J; 2EI6; 2EI7; 2EI8; 2FZZ; 2G00; 2GD4; 2H9E; 2J2U; 2J34; 2J38; 2J4I; 2J94; 2J95; 2JKH; 2P16; 2P3F; 2P3T; 2P3U; 2P93; 2P94; 2P95; 2PHB; 2PR3; 2Q1J; 2RA0; 2UWL; 2UWO; 2UWP; 2VH0; 2VH6; 2VVC; 2VVU; 2VVV; 2VWL; 2VWM; 2VWN; 2VWO; 2W26; 2W3I; 2W3K; 2WYG; 2WYJ; 2XBV; 2XBW; 2XBX; 2XBY; 2XC0; 2XC4; 2XC5; 2Y5F; 2Y5G; 2Y5H; 2Y7X; 2Y7Z; 2Y80; 2Y81; 2Y82; 3CEN; 3CS7; 3ENS; 3FFG; 3HPT; 3IIT; 3K9X; 3KL6; 3KQB; 3KQC; 3KQD; 3KQE; 3LIW; 3M36; 3M37; 3Q3K; 3SW2; 3TK5; 3TK6; 4A7I; 4BTI; 4BTT; 4BTU; 4Y6D; 4Y71; 4Y76; 4Y79; 4Y7A; 4Y7B,,F10,HGNC:3528,Humans,DB11311; DB14738
219,Asparagine synthetase [glutamine-hydrolyzing],ASNS,179100,M27396,P08243,ASNS_HUMAN,"",,ASNS,HGNC:753,Humans,DB00130
220,Ribosyldihydronicotinamide dehydrogenase [quinone],NQO2,190818,J02888,P16083,NQO2_HUMAN,1QR2; 1SG0; 1XI2; 1ZX1; 2BZS; 2QMY; 2QMZ; 2QR2; 2QWX; 2QX4; 2QX6; 2QX8; 2QX9; 3FW1; 3G5M; 3GAM; 3NFR; 3NHF; 3NHJ; 3NHK; 3NHL; 3NHP; 3NHR; 3NHS; 3NHU; 3NHW; 3NHY; 3O2N; 3O73; 3OVM; 3OWH; 3OWX; 3OX1; 3OX2; 3OX3; 3TE7; 3TEM; 3TZB; 3UXE; 3UXH; 4FGJ; 4FGK; 4FGL; 4GQI; 4GR9; 4QOD; 4QOE; 4QOF; 4QOG; 4QOH; 4QOI; 4QOJ; 4U7F; 4U7G; 4U7H,,NQO2,HGNC:7856,Humans,DB06695
223,Valine--tRNA ligase,VARS,31545,X59303,P26640,SYVC_HUMAN,"",,VARS,HGNC:12651,Humans,DB00161
227,Alcohol dehydrogenase 1A,ADH1A,178092,M12271,P07327,ADH1A_HUMAN,1HSO; 1U3T,,ADH1A,HGNC:249,Humans,DB00157; DB00898
228,"Tryptophan--tRNA ligase, cytoplasmic",WARS,184657,M77804,P23381,SYWC_HUMAN,1O5T; 1R6T; 1R6U; 1ULH; 2AKE; 2AZX; 2DR2; 2QUH; 2QUI; 2QUJ; 2QUK,,WARS,HGNC:12729,Humans,DB00150
229,Sodium/potassium-transporting ATPase subunit gamma,FXYD2,1575004,U50743,P54710,ATNG_HUMAN,2MKV,,FXYD2,HGNC:4026,Humans,DB13620
237,Choline/ethanolamine kinase,CHKB,5509940,AB029885,Q9Y259,CHKB_HUMAN,2IG7; 3FEG; 3LQ3,,CHKB,HGNC:1938,Humans,DB00122; DB14006
239,Lipoprotein lipase,LPL,307138,M15856,P06858,LIPL_HUMAN,"",,LPL,HGNC:6677,Humans,DB13928
248,Arachidonate 5-lipoxygenase,ALOX5,187193,J03600,P09917,LOX5_HUMAN,2ABV; 3O8Y; 3V92; 3V98; 3V99,,ALOX5,HGNC:435,Humans,DB00586; DB09061; DB09285; DB11133; DB13168; DB14009; DB14011
250,Purine nucleoside phosphorylase,PNP,35565,X00737,P00491,PNPH_HUMAN,1M73; 1PF7; 1PWY; 1RCT; 1RFG; 1RR6; 1RSZ; 1RT9; 1ULA; 1ULB; 1V2H; 1V3Q; 1V41; 1V45; 1YRY; 2A0W; 2A0X; 2A0Y; 2OC4; 2OC9; 2ON6; 2Q7O; 3BGS; 3D1V; 3GB9; 3GGS; 3INY; 3K8O; 3K8Q; 3PHB; 4EAR; 4EB8; 4ECE; 4GKA,,NP,HGNC:7892,Humans,DB00640
252,Tyrosinase,TYR,340037,M27160,P14679,TYRO_HUMAN,"",,TYR,HGNC:12442,Humans,DB09130
261,Cytosolic purine 5'-nucleotidase,NT5C2,633071,D38524,P49902,5NTC_HUMAN,2J2C; 2JC9; 2JCM; 2XCV; 2XCW; 2XCX; 2XJB; 2XJC; 2XJD; 2XJE; 2XJF; 4H4B,,NT5C2,HGNC:8022,Humans,DB00811
262,Prostaglandin G/H synthase 2,PTGS2,291988,L15326,P35354,PGH2_HUMAN,1V0X,,PTGS2,HGNC:9605,Humans,DB00035; DB00041; DB00250; DB00360; DB00482; DB00515; DB00620; DB00720; DB00773; DB00856; DB00884; DB00887; DB00963; DB01041; DB01395; DB05095; DB05804; DB05875; DB06195; DB06436; DB06774; DB06804; DB08819; DB09214; DB09285; DB09295; DB11133; DB13168; DB14060
263,"Nitric oxide synthase, endothelial",NOS3,189212,M93718,P29474,NOS3_HUMAN,1M9J; 1M9K; 1M9M; 1M9Q; 1M9R; 1NIW; 2LL7; 2MG5; 3EAH; 3NOS; 4D1O; 4D1P,,NOS3,HGNC:7876,Humans,DB00997; DB06154; DB09237
265,Gamma-glutamyl hydrolase,GGH,2951931,U55206,Q92820,GGH_HUMAN,1L9X,,GGH,HGNC:4248,Humans,DB00158; DB00563
266,Neprilysin,MME,34758,X07166,P08473,NEP_HUMAN,1DL9; 1DMT; 1QVD; 1R1H; 1R1I; 1R1J; 1Y8J; 2QPJ; 2YB9; 4CTH,,MME,HGNC:7154,Humans,DB06655; DB13928
267,Carbonic anhydrase 1,CA1,29600,X05014,P00915,CAH1_HUMAN,1AZM; 1BZM; 1CRM; 1CZM; 1HCB; 1HUG; 1HUH; 1J9W; 1JV0; 2CAB; 2FOY; 2FW4; 2IT4; 2NMX; 2NN1; 2NN7; 3LXE; 3W6H; 3W6I; 4WR7; 4WUP; 4WUQ,,CA1,HGNC:1368,Humans,DB01593; DB14487
269,Adenylate cyclase type 1,ADCY1,41472630,AC069008,Q08828,ADCY1_HUMAN,"",,ADCY1,HGNC:232,Humans,DB13749
273,Kynurenine--oxoglutarate transaminase 1,CCBL1,758591,X82224,Q16773,KAT1_HUMAN,1W7L; 1W7M; 1W7N; 3FVS; 3FVU; 3FVX; 4WLH; 4WLJ; 4WP0,,CCBL1,HGNC:1564,Humans,DB00130
275,Diamine acetyltransferase 2,SAT2,19070527,AF348524,Q96F10,SAT2_HUMAN,2BEI; 2Q4V,,SAT2,HGNC:23160,Humans,DB00127
278,Pyridoxal phosphate phosphatase,PDXP,37545684,AY125047,Q96GD0,PLPP_HUMAN,2CFR; 2CFS; 2CFT; 2OYC; 2P27; 2P69,,PDXP,HGNC:30259,Humans,DB00165
288,Methionine-R-sulfoxide reductase B1,MSRB1,6649219,AF166124,Q9NZV6,MSRB1_HUMAN,3MAO,,SEPX1,HGNC:14133,Humans,DB00134
300,Spermidine synthase,SRM,531202,M34338,P19623,SPEE_HUMAN,2O05; 2O06; 2O07; 2O0L; 3RW9,,SRM,HGNC:11296,Humans,DB00118
302,Beta-lactamase,blaZ,581568,X04121,P00807,BLAC_STAAU,1ALQ; 1BLC; 1BLH; 1BLP; 1DJA; 1DJB; 1DJC; 1GHI; 1GHM; 1GHP; 1KGE; 1KGF; 1KGG; 1OME; 1PIO; 3BLM,,,,Staphylococcus aureus,DB11367
304,S-adenosylmethionine synthase isoform type-2,MAT2A,36327,X68836,P31153,METK2_HUMAN,2P02; 4KTT; 4KTV; 4NDN,,MAT2A,HGNC:6904,Humans,DB00134
307,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial",NDUFS7,3342734,AC005329,O75251,NDUS7_HUMAN,"",,NDUFS7,HGNC:7714,Humans,DB00997
309,Arachidonate 15-lipoxygenase,ALOX15,307135,M23892,P16050,LOX15_HUMAN,2ABT,,ALOX15,HGNC:433,Humans,DB09061; DB14009; DB14011
321,GMP synthase [glutamine-hydrolyzing],GMPS,595410,U10860,P49915,GUAA_HUMAN,2VPI; 2VXO,,GMPS,HGNC:4378,Humans,DB00130; DB00993
