ID,Name,Gene Name,GenBank Protein ID,GenBank Gene ID,UniProt ID,Uniprot Title,PDB ID,GeneCard ID,GenAtlas ID,HGNC ID,Species,Drug IDs
752,Sodium/hydrogen exchanger 1,SLC9A1,178753,M81768,P19634,SL9A1_HUMAN,1Y4E; 2BEC; 2E30; 2HTG; 2KBV; 2L0E; 2MDF; 2YGG,,SLC9A1,HGNC:11071,Humans,DB01043
757,Solute carrier family 22 member 4,SLC22A4,2605501,AB007448,Q9H015,S22A4_HUMAN,"",,SLC22A4,HGNC:10968,Humans,DB00122; DB00123; DB00125; DB00127; DB00184; DB00332; DB00345; DB00458; DB00468; DB00501; DB00536; DB00575; DB00583; DB00594; DB00661; DB00908; DB00983; DB00987; DB01035; DB01043; DB01053; DB01137; DB01151; DB01165; DB01409; DB01917; DB03566; DB06691; DB08837; DB13943; DB13944; DB13946; DB14006; DB14754
782,Cellular retinoic acid-binding protein 2,CRABP2,181026,M68867,P29373,RABP2_HUMAN,1BLR; 1BM5; 1CBQ; 1CBS; 1XCA; 2CBS; 2FR3; 2FRS; 2FS6; 2FS7; 2G78; 2G79; 2G7B; 3CBS; 3CR6; 3CWK; 3D95; 3D96; 3D97; 3F8A; 3F9D; 3FA6; 3FA7; 3FA8; 3FA9; 3FEK; 3FEL; 3FEN; 3FEP; 3I17; 4I9R; 4I9S; 4M6S; 4M7M; 4QGV; 4QGW; 4QGX,,CRABP2,HGNC:2339,Humans,DB00755
785,Multidrug resistance-associated protein 1,ABCC1,1835659,L05628,P33527,MRP1_HUMAN,2CBZ; 4C3Z,,ABCC1,HGNC:51,Humans,DB00115; DB00143; DB00224; DB00286; DB00328; DB00345; DB00365; DB00396; DB00399; DB00445; DB00470; DB00499; DB00503; DB00541; DB00563; DB00570; DB00586; DB00602; DB00619; DB00661; DB00693; DB00694; DB00701; DB00709; DB00762; DB00773; DB00834; DB00845; DB00970; DB00997; DB01016; DB01032; DB01045; DB01050; DB01072; DB01076; DB01138; DB01165; DB01174; DB01177; DB01204; DB01229; DB01232; DB01248; DB01645; DB01708; DB02375; DB02659; DB03467; DB03825; DB04216; DB04348; DB04851; DB05294; DB05812; DB06335; DB08868; DB08881; DB09061; DB09161; DB09213; DB13783; DB14009; DB14011; DB14737; DB14962; DB15719
789,Large neutral amino acids transporter small subunit 2,SLC7A8,6642960,AF171669,Q9UHI5,LAT2_HUMAN,"",,SLC7A8,HGNC:11066,Humans,DB00130; DB01235; DB02750
802,Niemann-Pick C1-like protein 1,NPC1L1,6643036,AF192522,Q9UHC9,NPCL1_HUMAN,3QNT,,NPC1L1,HGNC:7898,Humans,DB00163; DB11635
879,Solute carrier family 22 member 11,SLC22A11,7707622,AB026116,Q9NSA0,S22AB_HUMAN,"",,SLC22A11,HGNC:18120,Humans,DB00168; DB00175; DB00286; DB00328; DB00345; DB00456; DB00493; DB00495; DB00501; DB00554; DB00563; DB00586; DB00595; DB00642; DB00695; DB00759; DB00783; DB00812; DB00887; DB00917; DB00936; DB00999; DB01009; DB01032; DB01050; DB01051; DB01053; DB01160; DB01212; DB01326; DB01327; DB01329; DB03553; DB04133; DB04519; DB06282; DB08846; DB09213; DB12377; DB13952; DB13953; DB13954; DB13955; DB13956
884,Excitatory amino acid transporter 2,SLC1A2,487341,U03505,P43004,EAA2_HUMAN,"",,SLC1A2,HGNC:10940,Humans,DB08868
893,"Solute carrier family 2, facilitated glucose transporter member 4",SLC2A4,307076,M20747,P14672,GTR4_HUMAN,"",,SLC2A4,HGNC:11009,Humans,DB00126; DB01296; DB01914; DB09341; DB09502
897,Potassium voltage-gated channel subfamily KQT member 2,KCNQ2,1841342,D82346,O43526,KCNQ2_HUMAN,,,KCNQ2,HGNC:6296,Humans,DB00586
936,Cubilin,CUBN,3929529,AF034611,O60494,CUBN_HUMAN,3KQ4,,CUBN,HGNC:2548,Humans,DB00115
940,Sodium- and chloride-dependent glycine transporter 1,SLC6A9,546769,S70609,P48067,SC6A9_HUMAN,"",,SLC6A9,HGNC:11056,Humans,DB00145
942,Low-density lipoprotein receptor-related protein 2,LRP2,1809240,U33837,P98164,LRP2_HUMAN,2M0P,,LRP2,HGNC:6694,Humans,DB00115; DB00798
963,Thiamine transporter 2,SLC19A3,12483888,AF271633,Q9BZV2,S19A3_HUMAN,"",,SLC19A3,HGNC:16266,Humans,DB00152
986,Sodium/calcium exchanger 1,SLC8A1,180673,M91368,P32418,NAC1_HUMAN,"",,SLC8A1,HGNC:11068,Humans,DB09498; DB11093; DB11348; DB14481
1004,Solute carrier organic anion transporter family member 1B1,SLCO1B1,5051630,AF060500,Q9Y6L6,SO1B1_HUMAN,"",,SLCO1B1,HGNC:10959,Humans,DB00091; DB00175; DB00177; DB00197; DB00199; DB00203; DB00206; DB00214; DB00220; DB00224; DB00227; DB00244; DB00255; DB00257; DB00275; DB00279; DB00286; DB00328; DB00345; DB00390; DB00394; DB00396; DB00398; DB00412; DB00439; DB00451; DB00468; DB00481; DB00503; DB00509; DB00520; DB00541; DB00563; DB00570; DB00583; DB00586; DB00588; DB00602; DB00622; DB00641; DB00646; DB00655; DB00661; DB00669; DB00688; DB00701; DB00762; DB00783; DB00795; DB00834; DB00859; DB00864; DB00877; DB00908; DB00912; DB00917; DB00932; DB00950; DB00973; DB00975; DB00976; DB01026; DB01045; DB01051; DB01053; DB01072; DB01076; DB01092; DB01095; DB01098; DB01115; DB01132; DB01211; DB01232; DB01264; DB01393; DB01583; DB01590; DB01601; DB01645; DB01708; DB01892; DB02659; DB02691; DB02703; DB04216; DB04348; DB04847; DB04850; DB04855; DB04868; DB05239; DB05804; DB05928; DB06137; DB06151; DB06176; DB06210; DB06290; DB06403; DB06448; DB06589; DB06626; DB06721; DB06772; DB08855; DB08856; DB08857; DB08858; DB08860; DB08862; DB08864; DB08880; DB08884; DB08906; DB08912; DB08995; DB09038; DB09054; DB09065; DB09078; DB09102; DB09137; DB09198; DB09272; DB09274; DB09279; DB09292; DB09297; DB09298; DB09299; DB11362; DB11575; DB11581; DB11586; DB11613; DB11632; DB11753; DB11757; DB11796; DB11837; DB11855; DB11869; DB11886; DB11901; DB11936; DB11979; DB12026; DB12070; DB12151; DB12265; DB12319; DB12332; DB12457; DB12500; DB12597; DB12674; DB12713; DB12941; DB12978; DB13139; DB13153; DB13867; DB13874; DB13878; DB13879; DB13919; DB13952; DB13953; DB13954; DB13955; DB13956; DB14761; DB14962; DB15091; DB15328; DB15413; DB15444; DB15463; DB15575; DB15719; DB15822; DB16098; DB16267; DB16703; DB17083
1018,Solute carrier family 15 member 1,SLC15A1,773588,U13173,P46059,S15A1_HUMAN,"",,SLC15A1,HGNC:10920,Humans,DB00178; DB00198; DB00211; DB00274; DB00415; DB00447; DB00456; DB00485; DB00492; DB00493; DB00519; DB00535; DB00542; DB00563; DB00567; DB00577; DB00584; DB00671; DB00672; DB00691; DB00713; DB00722; DB00731; DB00790; DB00833; DB00855; DB00881; DB00968; DB01000; DB01016; DB01053; DB01060; DB01095; DB01112; DB01124; DB01140; DB01147; DB01197; DB01212; DB01235; DB01255; DB01332; DB01333; DB01340; DB01348; DB01413; DB01415; DB01610; DB01956; DB03424; DB08795; DB08836
1032,Multidrug resistance protein 1,ABCB1,307180,M14758,P08183,MDR1_HUMAN,"",,ABCB1,HGNC:40,Humans,DB00027; DB00052; DB00080; DB00091; DB00104; DB00175; DB00176; DB00188; DB00196; DB00199; DB00203; DB00206; DB00207; DB00213; DB00215; DB00216; DB00220; DB00224; DB00227; DB00234; DB00243; DB00246; DB00248; DB00252; DB00253; DB00255; DB00257; DB00273; DB00276; DB00279; DB00281; DB00285; DB00286; DB00295; DB00300; DB00315; DB00316; DB00317; DB00320; DB00321; DB00328; DB00333; DB00334; DB00338; DB00341; DB00342; DB00343; DB00344; DB00346; DB00349; DB00351; DB00358; DB00360; DB00363; DB00365; DB00373; DB00381; DB00382; DB00390; DB00391; DB00394; DB00396; DB00398; DB00401; DB00421; DB00428; DB00439; DB00440; DB00441; DB00443; DB00448; DB00451; DB00454; DB00455; DB00457; DB00458; DB00468; DB00470; DB00472; DB00476; DB00477; DB00480; DB00481; DB00482; DB00490; DB00495; DB00501; DB00502; DB00503; DB00508; DB00518; DB00520; DB00523; DB00530; DB00537; DB00539; DB00540; DB00541; DB00555; DB00557; DB00563; DB00564; DB00570; DB00571; DB00584; DB00585; DB00586; DB00588; DB00590; DB00602; DB00603; DB00608; DB00612; DB00613; DB00615; DB00619; DB00622; DB00623; DB00635; DB00637; DB00641; DB00648; DB00652; DB00655; DB00656; DB00661; DB00669; DB00674; DB00675; DB00678; DB00688; DB00690; DB00694; DB00696; DB00698; DB00701; DB00709; DB00715; DB00717; DB00726; DB00734; DB00736; DB00741; DB00751; DB00758; DB00762; DB00768; DB00773; DB00776; DB00783; DB00788; DB00796; DB00802; DB00813; DB00818; DB00829; DB00831; DB00834; DB00836; DB00845; DB00853; DB00860; DB00862; DB00863; DB00864; DB00872; DB00875; DB00877; DB00882; DB00908; DB00909; DB00916; DB00921; DB00932; DB00945; DB00950; DB00957; DB00959; DB00966; DB00967; DB00970; DB00972; DB00973; DB00975; DB00977; DB00993; DB00997; DB01006; DB01016; DB01023; DB01026; DB01030; DB01037; DB01045; DB01050; DB01054; DB01069; DB01072; DB01076; DB01079; DB01086; DB01087; DB01100; DB01103; DB01104; DB01110; DB01115; DB01117; DB01118; DB01128; DB01136; DB01137; DB01142; DB01149; DB01151; DB01162; DB01167; DB01169; DB01174; DB01175; DB01182; DB01183; DB01184; DB01190; DB01193; DB01195; DB01196; DB01197; DB01200; DB01202; DB01203; DB01204; DB01208; DB01211; DB01212; DB01217; DB01222; DB01224; DB01229; DB01232; DB01233; DB01234; DB01239; DB01242; DB01244; DB01248; DB01253; DB01254; DB01259; DB01261; DB01263; DB01264; DB01267; DB01268; DB01323; DB01339; DB01340; DB01380; DB01388; DB01394; DB01396; DB01418; DB01420; DB01583; DB01587; DB01590; DB01601; DB01611; DB01645; DB02010; DB02261; DB02587; DB02659; DB02901; DB03203; DB03467; DB03825; DB04216; DB04348; DB04540; DB04573; DB04630; DB04690; DB04832; DB04840; DB04845; DB04851; DB04855; DB04868; DB04876; DB04877; DB04881; DB04908; DB04951; DB04960; DB05015; DB05039; DB05239; DB05294; DB05521; DB05667; DB05676; DB05773; DB05889; DB05928; DB06016; DB06176; DB06207; DB06212; DB06228; DB06234; DB06237; DB06240; DB06287; DB06288; DB06290; DB06292; DB06403; DB06414; DB06419; DB06420; DB06448; DB06480; DB06589; DB06603; DB06605; DB06616; DB06626; DB06636; DB06670; DB06695; DB06702; DB06772; DB07565; DB08816; DB08820; DB08822; DB08827; DB08828; DB08860; DB08864; DB08865; DB08868; DB08873; DB08874; DB08881; DB08882; DB08889; DB08893; DB08896; DB08899; DB08901; DB08906; DB08907; DB08910; DB08912; DB08916; DB08918; DB08930; DB08931; DB08934; DB08995; DB09026; DB09027; DB09030; DB09034; DB09038; DB09039; DB09048; DB09054; DB09061; DB09063; DB09065; DB09073; DB09074; DB09075; DB09076; DB09078; DB09079; DB09099; DB09102; DB09118; DB09161; DB09183; DB09198; DB09213; DB09237; DB09239; DB09241; DB09270; DB09274; DB09280; DB09287; DB09291; DB09296; DB09297; DB09299; DB09330; DB11077; DB11251; DB11362; DB11363; DB11430; DB11544; DB11574; DB11575; DB11581; DB11586; DB11613; DB11632; DB11633; DB11641; DB11652; DB11672; DB11689; DB11693; DB11697; DB11712; DB11732; DB11739; DB11751; DB11753; DB11757; DB11760; DB11770; DB11791; DB11793; DB11796; DB11800; DB11817; DB11827; DB11828; DB11853; DB11855; DB11869; DB11886; DB11901; DB11951; DB11952; DB11963; DB11978; DB11979; DB11986; DB11995; DB12001; DB12015; DB12026; DB12035; DB12070; DB12095; DB12141; DB12147; DB12240; DB12332; DB12364; DB12455; DB12457; DB12466; DB12471; DB12483; DB12489; DB12500; DB12541; DB12582; DB12597; DB12612; DB12674; DB12713; DB12799; DB12825; DB12836; DB12887; DB12923; DB12941; DB13007; DB13125; DB13179; DB13867; DB13874; DB13878; DB13879; DB13919; DB13943; DB13944; DB13946; DB13951; DB13952; DB13953; DB13954; DB13955; DB13956; DB13997; DB14003; DB14009; DB14057; DB14061; DB14062; DB14063; DB14064; DB14065; DB14066; DB14067; DB14069; DB14126; DB14146; DB14538; DB14539; DB14540; DB14541; DB14542; DB14543; DB14544; DB14568; DB14631; DB14635; DB14641; DB14649; DB14669; DB14723; DB14737; DB14761; DB14840; DB14845; DB14895; DB14962; DB14973; DB14989; DB15011; DB15035; DB15091; DB15102; DB15133; DB15149; DB15233; DB15305; DB15328; DB15442; DB15444; DB15456; DB15463; DB15566; DB15568; DB15569; DB15673; DB15685; DB15719; DB15822; DB15982; DB16098; DB16220; DB16222; DB16236; DB16261; DB16267; DB16390; DB16650; DB16691; DB16703; DB16732
1042,Solute carrier organic anion transporter family member 2B1,SLCO2B1,5006263,AB026256,O94956,SO2B1_HUMAN,"",,SLCO2B1,HGNC:10962,Humans,DB00175; DB00206; DB00220; DB00224; DB00227; DB00244; DB00255; DB00286; DB00313; DB00451; DB00471; DB00503; DB00530; DB00554; DB00627; DB00641; DB00655; DB00759; DB00770; DB00795; DB00917; DB00932; DB00936; DB00950; DB00975; DB01016; DB01045; DB01050; DB01051; DB01053; DB01072; DB01076; DB01088; DB01095; DB01098; DB01124; DB01149; DB01167; DB01232; DB01645; DB01708; DB02746; DB03166; DB03467; DB03793; DB03902; DB04216; DB04272; DB04348; DB04398; DB05804; DB05928; DB06290; DB08860; DB08862; DB08995; DB09213; DB09298; DB11586; DB11591; DB11611; DB11613; DB11632; DB11660; DB11753; DB11761; DB12319; DB12978; DB13952; DB13953; DB13954; DB13955; DB13956; DB16226
1045,"Solute carrier family 2, facilitated glucose transporter member 2",SLC2A2,307125,J03810,P11168,GTR2_HUMAN,"",,SLC2A2,HGNC:11006,Humans,DB01296; DB01914; DB09341; DB09344; DB09502
1048,Proton-coupled folate transporter,SLC46A1,16549261,AK054669,Q96NT5,PCFT_HUMAN,"",,SLC46A1,HGNC:30521,Humans,DB00158; DB00563; DB00642; DB00795; DB06813; DB08878; DB11256
1054,Excitatory amino acid transporter 3,SLC1A1,507898,U08989,P43005,EAA3_HUMAN,"",,SLC1A1,HGNC:10939,Humans,DB00230
1057,"Solute carrier family 2, facilitated glucose transporter member 1",SLC2A1,183303,K03195,P11166,GTR1_HUMAN,1SUK; 4PYP,,SLC2A1,HGNC:11005,Humans,DB00126; DB00237; DB01296; DB01914; DB08830; DB08831; DB09341; DB09502
1059,Choline transporter-like protein 1,SLC44A1,19571182,AJ245620,Q8WWI5,CTL1_HUMAN,"",,SLC44A1,HGNC:18798,Humans,DB00122; DB14006
1061,Canalicular multispecific organic anion transporter 2,ABCC3,3132270,AB010887,O15438,MRP3_HUMAN,"",,ABCC3,HGNC:54,Humans,DB00143; DB00158; DB00286; DB00328; DB00338; DB00481; DB00515; DB00541; DB00544; DB00563; DB00661; DB00709; DB00773; DB00950; DB00973; DB00997; DB01011; DB01016; DB01032; DB01045; DB01069; DB01115; DB01138; DB01174; DB02659; DB04348; DB05928; DB06813; DB08884; DB11936; DB15719
